Name,Latitude,Longitude
AT60164,"47,0555530000","15,4177890000"
AT60170,"47,0419430000","15,4341750000"
AT90TAB,"48,2180560000","16,3819580000"
AT9STAD,"48,2280580000","16,4605660000"
AT90AKC,"48,2191660000","16,3458440000"
AT90A23,"48,2030600000","16,4345470000"
AT4S184,"48,3061100000","14,2975010000"
AT4S416,"48,2744450000","14,3147360000"
AT9KEND,"48,2055550000","16,3105640000"
AT4S431,"48,3030550000","14,2830700000"
AT60138,"47,0955540000","15,4141800000"
AT2KA21,"46,6199990000","14,3169470000"
AT90LOB,"48,1625020000","16,5266740000"
AT51000,"47,7975010000","13,0536140000"
AT2KA71,"46,6266670000","14,2991670000"
AT51200,"47,8180500000","13,0300100000"
AT72110,"47,2630540000","11,3930640000"
BETR012,"50,7971780000","4,3572750000"
BETR001,"50,8502080000","4,3325550000"
BETR701,"51,0588650000","3,7280470000"
BETR802,"51,2101970000","4,4305470000"
BEGR801,"51,2101970000","4,4305470000"
BEGR701,"51,0588650000","3,7280470000"
BETR801,"51,2101970000","4,4305470000"
BETMEU1,"50,8956450000","4,3914500000"
BEGBB15,"51,2139920000","3,2328280000"
BETB011,"50,8585740000","4,2870720000"
BETR501,"50,4098740000","4,4509110000"
BETR222,"50,6139720000","5,5689280000"
BETM204,"50,6124810000","5,6098530000"
BETR511,"50,3781500000","4,4234390000"
BETR502,"50,4295540000","4,4574190000"
BETN070,"50,4657480000","3,9384670000"
BETH201,"50,6255460000","5,5461690000"
BETR221,"50,6590040000","5,6265360000"
BG0051A,"42,1428890000","24,7652390000"
BG0046A,"42,5782750000","23,1139750000"
BG0050A,"42,6805580000","23,2967860000"
BG0020A,"43,0742000000","25,6048830000"
BG0075A,"43,2243890000","27,9157330000"
BG0039A,"42,4341970000","25,6315220000"
CY0006A,"35,1269420000","33,3316650000"
CY0005A,"34,6816670000","33,0177760000"
CZ0TOZR,"49,7960430000","18,2471810000"
CZ0TOPO,"49,8252950000","18,1592760000"
CZ0ALEG,"50,0723880000","14,4306730000"
CZ0MOLJ,"49,6016400000","17,2378400000"
CZ0PPLE,"49,7473300000","13,3810390000"
CZ0PPLS,"49,7459950000","13,3207470000"
CZ0UMOM,"50,5103650000","13,6452720000"
CZ0HHKB,"50,1953660000","15,8463750000"
CZ0EPAU,"50,0240360000","15,7635500000"
CZ0PPLB,"49,7283900000","13,3755390000"
CZ0PPLA,"49,7324480000","13,4022810000"
CZ0HHKT,"50,2185300000","15,8570100000"
CZ0LLIM,"50,7649380000","15,0538980000"
CZ0ZZLN,"49,2329030000","17,6671750000"
CZ0BBNY,"49,1489730000","16,6962170000"
CZ0PPLL,"49,7701260000","13,3682220000"
CZ0UULK,"50,6835250000","14,0411950000"
CZ0BBNI,"49,2132150000","16,6779580000"
CZ0ALIB,"50,0073010000","14,4459330000"
CZ0CCBD,"48,9843860000","14,4656830000"
CZ0ASTO,"50,0461310000","14,3314140000"
CZ0JJIH,"49,4016690000","15,6099090000"
CZ0ARIE,"50,0814820000","14,4426920000"
CZ0ASMI,"50,0731350000","14,3981420000"
CZ0SKLM,"50,1438600000","14,1017840000"
DEMV020,"54,0922780000","12,1419940000"
DEST102,"51,4947590000","11,9813140000"
DEBE065,"52,5140720000","13,4699310000"
DEBE034,"52,4894510000","13,4308440000"
DEBB044,"51,7564750000","14,3279970000"
DEBE068,"52,5136060000","13,4188330000"
DEBB073,"52,3888740000","13,0946160000"
DEBE010,"52,5430070000","13,3491160000"
DEBB045,"52,3373340000","14,5385950000"
DEBB054,"52,3939360000","13,0374760000"
DEBB087,"51,7541280000","14,3255500000"
DEBB049,"52,4093090000","12,5483750000"
DEHH064,"53,5644000000","9,9445810000"
DESN084,"51,0262950000","13,7316070000"
DEST099,"52,1311870000","11,6312910000"
DESN025,"51,3441620000","12,3771640000"
DEST075,"51,4751850000","11,9834140000"
DEBW118,"48,7882500000","9,1913890000"
DEBB055,"52,4204440000","12,5523030000"
DESN061,"51,0649300000","13,7413980000"
DEHE041,"50,1245880000","8,6919110000"
DEBB064,"51,7463460000","14,3345500000"
DEBB021,"52,4013520000","13,0599450000"
DESN083,"50,8457370000","12,9033660000"
DENW212,"50,9473690000","6,9577000000"
DESH027,"54,3046720000","10,1351590000"
DEBW147,"48,4893460000","9,2107440000"
DENW024,"51,4965250000","6,9810440000"
DENI067,"52,2703000000","8,0414700000"
DESN092,"51,0361020000","13,7302060000"
DEST077,"52,1279030000","11,6114560000"
DENI143,"53,1428360000","8,2120840000"
DEHE061,"50,5841100000","8,6685780000"
DEST050,"51,4961890000","11,9790720000"
DENI048,"52,3595010000","9,7157690000"
DEBW152,"49,1460150000","9,2258610000"
DENW022,"51,5336460000","7,1017860000"
DENI068,"51,5301970000","9,9283300000"
DEBY115,"48,1496050000","11,5365140000"
DETH083,"50,9774630000","11,3260700000"
DEHE062,"50,8070140000","8,7693970000"
DENW008,"51,5369110000","7,4574640000"
DENW100,"51,1699680000","6,4588410000"
DEHE037,"50,0771900000","8,2303160000"
DEBW098,"49,4926000000","8,4723140000"
DEHH008,"53,5641400000","9,9678830000"
DESH022,"54,7814290000","9,4380890000"
DETH020,"50,9794580000","11,0379260000"
DEBW099,"48,7831250000","9,1807670000"
DEHE059,"50,5500260000","9,6848530000"
DESN059,"51,3179020000","12,2974120000"
DEBY037,"48,1372530000","11,5649250000"
DERP010,"50,0009690000","8,2612780000"
DEMV021,"54,1713330000","12,0800030000"
DEBY021,"48,7691920000","11,4287670000"
DEHE008,"50,1253320000","8,7463420000"
DENI054,"52,3629190000","9,7061200000"
DENW114,"51,2776490000","7,2318940000"
DEHE013,"51,3142470000","9,4833970000"
DEHB002,"53,0600430000","8,9169670000"
DEBY007,"48,3765750000","10,8883700000"
DENI038,"52,2553410000","8,0528610000"
DESH023,"53,8354910000","10,6959360000"
DENW071,"51,2492140000","6,7323830000"
DERP053,"49,3511430000","8,4230050000"
DEHH059,"53,5079310000","9,9905700000"
DEHB005,"53,5624540000","8,5694060000"
DENI075,"52,2667310000","10,5405500000"
DEBW080,"49,0079560000","8,3871920000"
DEBY009,"49,8983310000","10,8876860000"
DEBY058,"49,4622270000","11,0254720000"
DERP024,"50,3544000000","7,5965830000"
DENW247,"51,4069670000","6,9656410000"
